initial_r_ratio,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs1
0.05,0.9,76.33,4.755979,1.646317056,1108.2548665366728,1204.903103215747,1258.4061868653248,1209.0991811786248,108.99134753537855,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,1.0,74.694,4.755979,1.531941376,1172.382402778574,1276.5653446075244,1318.9827571777873,1198.6039019816537,109.51846492665562,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.1,0.0,77.028,4.755979,1.752058368,1103.6650258930679,1201.552996384788,1296.277093296946,1351.362327577062,172.93474639724775,664.75390625,335.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.1,76.794,4.755979,1.73455616,1107.8834962945118,1205.250159283931,1288.8989904394766,1334.6128014106287,160.55734856269288,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.2,76.886,4.755979,1.73070592,1099.4991664570632,1205.4699479571618,1279.8992755048612,1328.4305741443086,157.04109591913323,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.3,76.698,4.755979,1.691043328,1115.7139102170102,1216.5213318115834,1298.0573491483276,1320.1250660172063,142.12718064610726,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.4,76.672,4.755979,1.675535872,1128.362513316618,1235.4219946024161,1310.8857553589883,1321.347817277993,138.26546383332894,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.5,76.568,4.755979,1.631451648,1154.7465757252642,1263.5476212819137,1327.5073677807184,1330.0454565742223,132.03035055137406,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.6,76.458,4.755979,1.606027776,1175.5650559185,1286.1831425472292,1350.8255896229075,1332.9761190832814,129.24171517886924,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.7,75.918,4.755979,1.542000128,1217.255861609723,1335.484366548605,1385.8458366512143,1308.9073678123561,116.25246942371449,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.8,75.39,4.755979,1.481687552,1256.5712523911488,1374.0231801286227,1408.4943786039892,1268.1857916264607,111.23847237629634,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,0.9,72.506,4.755979,1.381336576,1330.3044722219558,1441.6892458516415,1470.2769210815338,1273.7247153961894,111.90970176651896,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.1,1.0,53.066,4.755979,1.252526592,1420.5191377288056,1532.3211059604625,1548.4094374880076,1271.3459202309475,111.39012986074853,664.75390625,334.001953125,166.5009765625,84.50048828125,5.19482421875
0.15,0.0,76.766,4.755979,1.655556608,1191.0724458695354,1298.2684392544986,1390.4337862192274,1418.90664320036,173.82210799770326,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.1,76.48,4.755979,1.63420416,1191.16872332383,1298.9497394527114,1385.8698195398024,1414.1751426242217,159.19510956490583,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.2,76.42,4.755979,1.595151872,1214.2995849923855,1324.5274222870562,1402.3515101727896,1399.7779757278436,148.87651985289907,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.3,76.29,4.755979,1.580175872,1218.6684056275067,1333.2764331941107,1406.8457000189426,1414.3190946720892,145.56142536715763,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.4,76.244,4.755979,1.543113216,1245.1858215706648,1360.8274749776679,1429.8868846790663,1411.5362174227448,137.3973623714966,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.5,75.816,4.755979,1.489683968,1288.8391363252679,1416.4671878718132,1483.2889016947177,1447.4188747996636,131.159237287701,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.6,75.162,4.755979,1.40907264,1355.3239220438252,1480.6567052004298,1521.6774570563834,1418.6308726784403,124.84044856440319,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.7,73.888,4.755979,1.341679104,1415.1495216920305,1537.9102555623404,1565.4988903221977,1307.5211189374932,109.81249344157466,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.8,70.0,4.755979,1.233517056,1514.0411817148197,1628.5371717535675,1634.8511436867734,1322.19166543725,110.60928853424518,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,0.9,22.906,4.755979,1.078500864,1648.0003261185338,1767.801144793768,1766.7391960792522,1328.3740916784059,111.91189943366116,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.15,1.0,11.944,4.755979,0.970720768,1755.8849961940791,1875.637772356382,1847.2422856579124,1367.9085703868036,114.48668589597874,604.609375,303.7578125,151.26171875,75.974609375,4.71435546875
0.2,0.0,76.478,4.755979,1.585822208,1266.106893681029,1384.4739561826277,1470.282332726208,1505.1740195434152,174.24614301671744,544.71484375,273.794921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.1,76.254,4.755979,1.56446976,1262.2897869152562,1390.18636518757,1464.6649225997367,1481.6943946845859,155.01030425977282,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.2,76.042,4.755979,1.522443776,1282.9530864424107,1414.9265193512977,1479.990568125752,1468.1011292253631,145.89850214422904,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.3,75.902,4.755979,1.481282048,1324.2928637896644,1456.6037598246992,1525.7788231228408,1507.6225753172553,138.0492461737639,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.4,75.356,4.755979,1.431352832,1373.7334202962998,1511.7432291634284,1575.2596253020415,1549.3307313555865,135.26821009816555,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.5,74.458,4.755979,1.357164032,1445.0799180836198,1580.877666501203,1623.9671505401168,1479.0252117790142,124.89658960543817,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.6,72.798,4.755979,1.269490176,1527.4171814513109,1654.0954924432363,1677.9466126407551,1433.8150985187162,119.29665921889277,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.7,68.286,4.755979,1.156889088,1643.916270211008,1773.7038078584521,1760.4146118092847,1373.0209320594581,110.93558896947461,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.8,48.334,4.755979,1.042451968,1771.5050788756782,1892.5548716247386,1876.7640650340659,1376.1783534369647,110.23919066643987,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,0.9,8.688,4.755979,0.906634752,1938.7664163802333,2065.8136711651027,1974.8833898577618,1425.6488490330214,115.995076014687,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.2,1.0,6.056,4.755979,0.83533568,2044.2947781016162,2178.0038592635824,1987.2083327830492,1431.495743195854,116.17726823276159,544.71484375,273.544921875,136.8037109375,69.02685546875,4.25634765625
0.25,0.0,75.906,4.755979,1.489320448,1362.2493152911716,1504.899943875319,1586.2138733734118,1598.314765163074,175.7474160528558,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.1,75.704,4.755979,1.457452544,1369.7429738200967,1500.2884152657589,1572.3270994307663,1560.7904566478985,154.50639539756082,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.2,75.302,4.755979,1.400287744,1421.263847920881,1570.2703550120575,1636.3411504509365,1625.418950288562,145.42831515686274,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.3,74.716,4.755979,1.348859392,1482.1838965712757,1633.5411721658372,1683.5016503913714,1623.3635161657182,136.1463002473762,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.4,73.706,4.755979,1.295430144,1544.1853889563035,1688.4362475835405,1728.0110413303155,1590.0046224877515,133.283002574044,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.5,71.846,4.755979,1.201081856,1653.3677411776148,1799.8560519903563,1815.2773252957375,1531.8463253874718,124.7524910320941,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.6,66.546,4.755979,1.07958016,1781.9086399364694,1922.8402794380338,1901.1407094006668,1469.134217610504,116.91596804171698,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.7,52.318,4.755979,0.968018432,1923.542106106454,2042.8173981949847,1965.4106471590917,1398.1966437378815,108.45422405049702,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,0.8,6.878,4.755979,0.823142912,2135.9990815462247,2267.6289424499755,2023.0895370193819,1450.168547401369,113.92303706690247,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
