initial_r_ratio,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs1,activation_mem_MB
0.1,0.8,75.352,4.755979,1.481687552,1256.4649125438061,1372.3144021221235,1406.2641105517066,1251.1494979116019,109.07618130382515,665.2421875
0.1,0.9,72.594,4.755979,1.381336576,1329.3276269462026,1440.3882516245262,1467.727256622381,1258.7942456504181,111.63405506412451,665.2421875
0.1,1.0,48.688,4.755979,1.25074688,1420.341514210005,1532.9940115137085,1548.2620435531571,1292.3736952456904,112.39713218895584,665.2421875
0.15,0.1,76.544,4.755979,1.63420416,1200.2154164708897,1314.9312728593434,1396.2765162829278,1421.3388616041523,159.15294574772938,605.09765625
0.15,0.2,76.312,4.755979,1.595151872,1221.3598728351935,1331.7423859004296,1412.5570894474663,1408.1790252013127,150.6336263508862,605.09765625
0.15,0.3,76.322,4.755979,1.580175872,1223.8492221413846,1341.767235932699,1414.7332915926193,1418.8422051620937,144.66889108570686,605.09765625
0.15,0.4,76.124,4.755979,1.543113216,1246.9200683021274,1368.904762188395,1434.682141229328,1417.61935285331,137.00251790025052,605.09765625
0.15,0.5,75.778,4.755979,1.489683968,1291.2433592967882,1420.7658639842311,1486.6870690284632,1452.677582720901,134.32771768448353,605.09765625
0.15,0.6,75.08,4.755979,1.40907264,1357.5152474745055,1484.666942705974,1523.6550831501554,1413.89918237278,124.13207073866901,605.09765625
0.15,0.7,73.87,4.755979,1.341679104,1414.1238872725894,1537.0049539531997,1563.5762350096493,1307.38091849243,109.52921831367104,605.09765625
0.15,0.8,69.976,4.755979,1.233517056,1513.6330324841838,1625.469816202781,1630.2362417732527,1321.3338724030998,110.55079456644009,605.09765625
0.15,0.9,22.914,4.755979,1.078500864,1647.6708032063416,1766.540240156669,1764.788963589297,1322.6340915683497,109.76929287109277,605.09765625
0.2,0.1,76.332,4.755979,1.56446976,1273.2300882017516,1398.6204546254085,1474.6554925837045,1490.1597386796016,160.53178480762134,545.203125
0.2,0.2,76.068,4.755979,1.522443776,1287.8239984758477,1420.7345222315585,1488.5925652515225,1475.0981371201992,144.4949734448581,545.203125
0.2,0.3,75.792,4.755979,1.481282048,1329.8508920812985,1461.9166764405363,1533.2155723420865,1516.4749682712181,139.8385485263939,545.203125
0.2,0.4,75.36,4.755979,1.431352832,1376.8946316983538,1522.6076232498112,1580.4591929880023,1558.0789747439271,139.13066553972584,545.203125
0.2,0.5,74.664,4.755979,1.357164032,1447.2114904542375,1583.3808402814752,1628.3634609533137,1502.1691725851254,127.38827348674823,545.203125
0.2,0.6,72.83,4.755979,1.269490176,1527.6329601529853,1652.0896764828206,1676.815616522393,1427.2665135574323,118.51868596774344,545.203125
0.2,0.7,68.25,4.755979,1.156889088,1642.1436545452666,1771.397623388736,1757.9883599343925,1370.565193810716,111.49166632287688,545.203125
0.2,0.8,48.578,4.755979,1.042451968,1769.4264614599947,1890.037550733483,1873.060870512728,1380.5252338405767,110.52126789957724,545.203125
0.2,0.9,8.518,4.755979,0.906634752,1937.8643916660315,2061.345653002723,1982.062430086888,1438.69778817105,117.64307266594997,545.203125
0.25,0.1,75.684,4.755979,1.457452544,1378.8310774513477,1508.37525433332,1586.3397079534855,1576.5311592762728,154.82560569374377,489.87109375
0.25,0.2,75.206,4.755979,1.400287744,1428.6397582251852,1575.7312152918253,1641.971448248715,1634.4142000582174,144.65449670436516,489.87109375
0.25,0.3,74.686,4.755979,1.348859392,1486.9255575433758,1637.8406710130341,1690.1927718769325,1646.1962019444727,138.6276533133359,489.87109375
0.25,0.4,73.758,4.755979,1.295430144,1546.241870514763,1689.0793921023442,1733.1263566830805,1594.794593585704,133.51049407462003,489.87109375
0.25,0.5,71.842,4.755979,1.201081856,1654.3934120944098,1797.762421634207,1814.989039563266,1560.4908920992154,127.92513755988013,489.87109375
0.25,0.6,66.486,4.755979,1.07958016,1781.6185568417088,1922.0419642908287,1901.6612259702576,1464.3260909315854,116.33837712681458,489.87109375
0.25,0.7,52.19,4.755979,0.968018432,1923.98427621531,2042.617185084034,1972.1356118766716,1407.277368139171,110.00906604141423,489.87109375
0.25,0.8,6.546,4.755979,0.822272512,2135.983716723597,2267.1752666619595,2051.883914177761,1475.72729452541,118.17894985918453,489.87109375
0.3,0.1,74.864,4.755979,1.372579328,1508.186709079096,1674.7473324748912,1751.1018742612944,1753.0389003591974,157.54501802433785,438.3515625
0.3,0.2,74.334,4.755979,1.326703104,1547.4127356045522,1713.6902445427068,1767.9839893970802,1723.757473723491,146.2607593598358,438.3515625
0.3,0.3,72.946,4.755979,1.240072704,1649.2597472999335,1791.1902801019546,1819.132698963654,1695.0502683988684,140.12133347355586,438.3515625
0.3,0.4,71.318,4.755979,1.176376832,1738.612684320417,1880.8306175596488,1909.67969880788,1660.2746043204982,135.25796781474213,438.3515625
0.3,0.5,67.098,4.755979,1.072695808,1863.5868024607873,1997.8044320274757,1987.0582902801684,1615.9997033310483,128.32832045732238,438.3515625
0.3,0.6,58.49,4.755979,0.963574272,2014.2797472824025,2131.336100083724,2089.3380064395415,1504.4493536968068,115.68589842565497,438.3515625
0.3,0.7,8.73,4.755979,0.811535872,2260.443850092479,2387.6962006310723,2106.500451519426,1475.2461335190915,113.20597459662837,438.3515625
0.35,0.1,73.78,4.755979,1.290593792,1632.4627934000778,1806.9067602019934,1874.7375853731005,1876.0670014663817,155.04914357822383,392.0
0.35,0.2,72.57,4.755979,1.221426688,1705.8380760891393,1877.4883296360185,1909.6341607150955,1819.5050775652066,146.62034023451193,392.0
0.35,0.3,70.8,4.755979,1.147571712,1812.316550816153,1981.1710285837837,2010.5473583893538,1741.1410974475389,138.128569935792,392.0
0.35,0.4,67.38,4.755979,1.061959168,1939.921036274738,2096.8195885695995,2093.732215571523,1675.6902445011037,129.72402950169604,392.0
0.35,0.5,56.98,4.755979,0.926720512,2151.173202602018,2290.803811639829,2235.9509617767194,1607.140874568614,122.49257417039053,392.0
0.35,0.6,31.904,4.755979,0.796289536,2368.5632999815907,2495.6575901312644,2166.227582021718,1517.9068083988739,113.32338371742601,392.0
0.35,0.9,1.956,4.755979,0.614550016,2795.5762246276645,2911.5811042433097,2326.3604429803595,1636.5754740613395,124.32269199527786,392.0
0.4,0.1,71.566,4.755979,1.203979776,1787.9612090840092,1954.4877119734742,1994.9766523433777,1925.9992779174172,153.87418230457763,392.0
0.4,0.2,69.84,4.755979,1.13244928,1891.8339778908496,2053.2257377105507,2087.1815338129754,1837.4787054490118,144.52270563144592,392.0
0.4,0.3,66.216,4.755979,1.04196864,2028.5292638813935,2189.5900604305766,2169.430369254872,1801.6395385254827,139.11797042056853,392.0
0.4,0.4,59.326,4.755979,0.939424256,2211.234858007389,2354.93594648271,2304.750214904166,1705.07059126985,128.48767125469809,392.0
0.4,0.5,38.252,4.755979,0.798944768,2472.6768998879043,2598.3794835824046,2291.0373348110566,1615.487994441337,120.04525097455998,392.0
