initial_r,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs8,throughput_bs4,throughput_bs2,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs8,activation_mem_bs4,activation_mem_bs2,activation_mem_bs1
0.05,0.9,76.414,4.755979,1.646317056,1105.6083944231714,1203.4060320515614,1247.3120629849911,1200.122864903972,784.3211100275171,427.78259856747076,216.9197446324917,108.97995194836523,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,1.0,74.864,4.755979,1.531941376,1169.4107770650949,1270.2768175194033,1310.3909690176233,1191.9163860497633,786.6347796968038,427.986186252129,216.74934481225773,108.88805317754834,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.1,0.0,76.984,4.755979,1.752058368,1105.720572118834,1199.8158642120854,1290.0437730353412,1356.8226061188298,1170.5681497788844,669.4515631474792,338.06534085986016,172.17725303509175,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.1,76.758,4.755979,1.73455616,1103.9428386455033,1200.0318297245637,1282.8744582005052,1335.9339795772032,1119.3820946273688,633.5176478291397,321.024804678142,162.19779170989597,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.2,76.854,4.755979,1.73070592,1102.2101667050883,1200.1235946146712,1277.8074729867956,1328.499369333194,1096.3373902369788,608.349462587443,308.4287451816097,155.57945418418862,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.3,76.778,4.755979,1.691043328,1115.8710814029678,1215.930389116994,1290.2684884415096,1318.4837058903643,1014.0177674755495,559.7148543580781,283.53672159719247,142.8767347926506,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.4,76.718,4.755979,1.675535872,1127.4250801508474,1232.9270698524626,1307.2929519529077,1322.273832473128,983.4466321328565,536.5773998696521,272.2504824079478,137.05298811858935,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.5,76.542,4.755979,1.631451648,1156.5443682298312,1260.986732526451,1331.4905768513222,1326.0629628751412,944.1015990377794,513.8798927117626,260.27676634459493,130.4692727316276,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.6,76.384,4.755979,1.606027776,1175.9113212932182,1282.5593552563787,1342.3494228899913,1332.1592294490663,924.3972665257508,498.88051428783484,252.92993630957346,127.05783020584907,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.7,75.904,4.755979,1.542000128,1215.027341746392,1333.1431024519243,1378.4727996482093,1301.0008628897133,841.8685015018908,452.7451785836396,229.0249834277433,115.12779356804525,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.8,75.274,4.755979,1.481687552,1255.9617363685138,1372.327535527955,1404.1157461222022,1248.5127080131613,814.1360183122683,435.5855945439641,220.29575160969952,110.69059007637097,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,0.9,72.494,4.755979,1.381336576,1328.7965643562454,1437.8558919622515,1459.8710314482123,1251.790075186646,804.1700692587767,427.5645592000454,215.39877674276767,108.4711593919621,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.1,1.0,53.17,4.755979,1.252526592,1416.7135253318409,1527.7099542903993,1538.5372859394386,1261.1994945043398,806.4659111387625,428.5474250575302,220.1359169909465,110.85962900186412,664.75390625,334.001953125,167.7900390625,83.09423828125,41.546875,20.7734375,10.38720703125,5.19482421875
0.15,0.0,76.772,4.755979,1.655556608,1189.7868991944274,1296.089779076589,1382.8753000813954,1421.710615237623,1187.7613238614297,671.2923369467231,338.941681609108,172.05118303483346,604.609375,302.9140625,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.1,76.47,4.755979,1.63420416,1189.2246729931207,1299.4451308283212,1379.8023372450257,1403.3591352802555,1107.8663041753482,607.220594896966,307.6355153029325,155.4204435253457,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.2,76.426,4.755979,1.595151872,1212.9210394737565,1324.2827765535426,1404.3050850975997,1391.3062515717506,1042.6397954893685,580.3237733973626,294.5341506520063,148.59476878041164,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.3,76.252,4.755979,1.580175872,1219.006609231126,1334.0759702629812,1410.3954566969742,1401.1017928226631,1032.9255319656538,559.5469972237128,283.7207886514499,143.18868955521387,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.4,76.21,4.755979,1.543113216,1240.566451749818,1362.0169639029966,1421.8764103002632,1400.9997683540964,971.8852628244684,522.3306800363998,264.29296610741943,133.41160173766036,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.5,75.796,4.755979,1.489683968,1288.4472762903947,1412.0623942250363,1462.6041254024137,1440.889012866749,976.1964056046462,519.9840272087895,263.07979951059036,132.8752500179942,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.6,74.942,4.755979,1.40907264,1354.7230449860854,1475.551948443153,1505.8914090077483,1400.85061941148,910.612463533499,485.1175755224684,245.9264710866195,123.91377242820008,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.7,73.836,4.755979,1.341679104,1412.1247321788883,1530.002951535316,1552.717873767337,1313.2959582011388,832.8183696011955,437.5609342114727,220.1587957378373,110.77357346444198,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.8,69.944,4.755979,1.233517056,1509.212989337593,1620.8755494308025,1621.7062446050954,1303.121731339247,816.1905762215714,426.1935157334435,219.85908022953845,110.4853188719218,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,0.9,22.984,4.755979,1.078500864,1648.7682404369823,1759.770180770345,1756.802298672441,1334.9049315178797,832.7712022223095,434.43808538140496,220.30623498668515,111.29551700503552,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.15,1.0,11.832,4.755979,0.970720768,1754.8077604451007,1868.710961351808,1826.7960096067522,1339.3425347383754,831.647876385713,436.0870728113335,220.492394168299,111.79120345355942,604.609375,302.8828125,151.94921875,75.396484375,37.69873046875,18.849609375,9.42578125,4.71435546875
0.2,0.0,76.492,4.755979,1.585822208,1258.7744592495867,1386.3669501712154,1467.8252336705343,1503.4202437405604,1213.1917520076215,673.8980400612506,339.9741560554703,170.8359733466321,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
